epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5506,1.75774,4.31847,1.51857,0.42759,0.14736,0.07615,0.04009,1.5877,3.23209,1.39148,0.000114272,0.000114272,0.000114272
2,50.0533,1.71128,3.17615,1.44893,0.54484,0.34488,0.30042,0.16142,1.53584,2.38694,1.40871,0.000224733,0.000224733,0.000224733
3,73.8956,1.65802,2.39106,1.46529,0.49555,0.49358,0.50272,0.26112,1.52788,1.77521,1.44385,0.000330639,0.000330639,0.000330639
4,93.4345,1.608,1.97962,1.44998,0.56941,0.66511,0.64397,0.35736,1.45708,1.48222,1.42112,0.000324507,0.000324507,0.000324507
5,112.211,1.58831,1.79651,1.45931,0.65384,0.71244,0.71951,0.39402,1.4589,1.36136,1.41565,0.000317676,0.000317676,0.000317676
6,130.979,1.54778,1.64573,1.42304,0.69399,0.72488,0.76204,0.42359,1.44083,1.25374,1.40484,0.000310845,0.000310845,0.000310845
7,149.704,1.52248,1.53725,1.41084,0.7455,0.75456,0.81299,0.4558,1.40969,1.14452,1.38993,0.000304014,0.000304014,0.000304014
8,169.81,1.50658,1.4509,1.39401,0.74779,0.76337,0.80783,0.45094,1.39262,1.12604,1.37446,0.000297183,0.000297183,0.000297183
9,188.532,1.49977,1.40187,1.39797,0.7352,0.79186,0.81928,0.46876,1.38788,1.08754,1.38866,0.000290352,0.000290352,0.000290352
10,207.448,1.47117,1.36781,1.37763,0.76096,0.79294,0.82547,0.47766,1.37217,1.04503,1.36504,0.000283521,0.000283521,0.000283521
11,226.289,1.45701,1.31105,1.35691,0.76339,0.83489,0.84959,0.49077,1.38847,0.99739,1.37023,0.00027669,0.00027669,0.00027669
12,245.346,1.43799,1.2649,1.3497,0.76701,0.85378,0.85491,0.49443,1.37201,1.00476,1.36869,0.000269859,0.000269859,0.000269859
13,264.297,1.43137,1.252,1.35717,0.8162,0.7943,0.85762,0.49727,1.36722,0.97455,1.36864,0.000263028,0.000263028,0.000263028
14,283.339,1.43517,1.22124,1.34294,0.7971,0.81409,0.86013,0.49332,1.35861,0.96056,1.36976,0.000256197,0.000256197,0.000256197
15,302.173,1.40046,1.17944,1.3372,0.79032,0.84299,0.86817,0.50489,1.34671,0.95609,1.35386,0.000249366,0.000249366,0.000249366
